"subj" "activity" "feature" "value"
1 "LAYING" "tBodyAcc-mean-X" 0.2216
2 "LAYING" "tBodyAcc-mean-X" 0.2814
3 "LAYING" "tBodyAcc-mean-X" 0.2755
4 "LAYING" "tBodyAcc-mean-X" 0.2636
5 "LAYING" "tBodyAcc-mean-X" 0.2783
6 "LAYING" "tBodyAcc-mean-X" 0.2487
7 "LAYING" "tBodyAcc-mean-X" 0.2502
8 "LAYING" "tBodyAcc-mean-X" 0.2613
9 "LAYING" "tBodyAcc-mean-X" 0.2592
10 "LAYING" "tBodyAcc-mean-X" 0.2802
11 "LAYING" "tBodyAcc-mean-X" 0.2806
12 "LAYING" "tBodyAcc-mean-X" 0.2601
13 "LAYING" "tBodyAcc-mean-X" 0.2767
14 "LAYING" "tBodyAcc-mean-X" 0.2333
15 "LAYING" "tBodyAcc-mean-X" 0.2895
16 "LAYING" "tBodyAcc-mean-X" 0.2742
17 "LAYING" "tBodyAcc-mean-X" 0.2698
18 "LAYING" "tBodyAcc-mean-X" 0.2747
19 "LAYING" "tBodyAcc-mean-X" 0.2727
20 "LAYING" "tBodyAcc-mean-X" 0.2395
21 "LAYING" "tBodyAcc-mean-X" 0.2713
22 "LAYING" "tBodyAcc-mean-X" 0.28
23 "LAYING" "tBodyAcc-mean-X" 0.274
24 "LAYING" "tBodyAcc-mean-X" 0.2729
25 "LAYING" "tBodyAcc-mean-X" 0.2508
26 "LAYING" "tBodyAcc-mean-X" 0.2716
27 "LAYING" "tBodyAcc-mean-X" 0.2741
28 "LAYING" "tBodyAcc-mean-X" 0.2759
29 "LAYING" "tBodyAcc-mean-X" 0.2873
30 "LAYING" "tBodyAcc-mean-X" 0.281
1 "SITTING" "tBodyAcc-mean-X" 0.2612
2 "SITTING" "tBodyAcc-mean-X" 0.2771
3 "SITTING" "tBodyAcc-mean-X" 0.2572
4 "SITTING" "tBodyAcc-mean-X" 0.2715
5 "SITTING" "tBodyAcc-mean-X" 0.2737
6 "SITTING" "tBodyAcc-mean-X" 0.2768
7 "SITTING" "tBodyAcc-mean-X" 0.2847
8 "SITTING" "tBodyAcc-mean-X" 0.2675
9 "SITTING" "tBodyAcc-mean-X" 0.2483
10 "SITTING" "tBodyAcc-mean-X" 0.2706
11 "SITTING" "tBodyAcc-mean-X" 0.2766
12 "SITTING" "tBodyAcc-mean-X" 0.275
13 "SITTING" "tBodyAcc-mean-X" 0.2743
14 "SITTING" "tBodyAcc-mean-X" 0.28
15 "SITTING" "tBodyAcc-mean-X" 0.2729
16 "SITTING" "tBodyAcc-mean-X" 0.2808
17 "SITTING" "tBodyAcc-mean-X" 0.2774
18 "SITTING" "tBodyAcc-mean-X" 0.2773
19 "SITTING" "tBodyAcc-mean-X" 0.2738
20 "SITTING" "tBodyAcc-mean-X" 0.278
21 "SITTING" "tBodyAcc-mean-X" 0.2775
22 "SITTING" "tBodyAcc-mean-X" 0.2736
